,test_precision,test_recall,f1_score,tp,tn,fp,fn,name
44,0.934290596095143,0.94292,0.9385819890201343,4714.6,4668.4,331.6,285.4,emb50_rat11_gru_bi1_lay8
45,0.934290596095143,0.94292,0.9385819890201343,4714.6,4668.4,331.6,285.4,emb50_rat11_gru_bi1_lay2
46,0.8585697172309825,0.88144,0.8698440490372916,4407.2,19274.0,726.0,592.8,emb50_rat41_lstm_bi1_lay2
47,0.934290596095143,0.94292,0.9385819890201343,4714.6,4668.4,331.6,285.4,emb50_rat11_lstm_bi1_lay1
48,0.8585697172309825,0.88144,0.8698440490372916,4407.2,19274.0,726.0,592.8,emb50_rat41_lstm_bi1_lay8
49,0.9043854749647214,0.91856,0.9114113270749297,4592.8,9514.4,485.6,407.2,emb50_rat21_gru_bi1_lay4
50,0.8585697172309825,0.88144,0.8698440490372916,4407.2,19274.0,726.0,592.8,emb100_rat41_gru_bi0_lay1
51,0.934290596095143,0.94292,0.9385819890201343,4714.6,4668.4,331.6,285.4,emb25_rat11_lstm_bi0_lay1
52,0.8585697172309825,0.88144,0.8698440490372916,4407.2,19274.0,726.0,592.8,emb100_rat41_lstm_bi1_lay4
53,0.8585697172309825,0.88144,0.8698440490372916,4407.2,19274.0,726.0,592.8,emb25_rat41_gru_bi1_lay4
54,0.9043854749647214,0.91856,0.9114113270749297,4592.8,9514.4,485.6,407.2,emb100_rat21_gru_bi1_lay1
55,0.9043854749647214,0.91856,0.9114113270749297,4592.8,9514.4,485.6,407.2,emb50_rat21_lstm_bi1_lay8
56,0.9043854749647214,0.91856,0.9114113270749297,4592.8,9514.4,485.6,407.2,emb50_rat21_lstm_bi1_lay2
57,0.9043854749647214,0.91856,0.9114113270749297,4592.8,9514.4,485.6,407.2,emb25_rat21_gru_bi1_lay2
58,0.9043854749647214,0.91856,0.9114113270749297,4592.8,9514.4,485.6,407.2,emb25_rat21_gru_bi1_lay8
59,0.9043854749647214,0.91856,0.9114113270749297,4592.8,9514.4,485.6,407.2,emb25_rat21_lstm_bi1_lay4
60,0.934290596095143,0.94292,0.9385819890201343,4714.6,4668.4,331.6,285.4,emb25_rat11_gru_bi1_lay4
61,0.934290596095143,0.94292,0.9385819890201343,4714.6,4668.4,331.6,285.4,emb25_rat11_lstm_bi1_lay2
62,0.934290596095143,0.94292,0.9385819890201343,4714.6,4668.4,331.6,285.4,emb25_rat11_lstm_bi1_lay8
63,0.8585697172309825,0.88144,0.8698440490372916,4407.2,19274.0,726.0,592.8,emb25_rat41_lstm_bi1_lay1
64,0.9043854749647214,0.91856,0.9114113270749297,4592.8,9514.4,485.6,407.2,emb50_rat21_lstm_bi0_lay1
65,0.9043854749647214,0.91856,0.9114113270749297,4592.8,9514.4,485.6,407.2,emb50_rat21_gru_bi1_lay1
66,0.934290596095143,0.94292,0.9385819890201343,4714.6,4668.4,331.6,285.4,emb50_rat11_lstm_bi1_lay4
67,0.9043854749647214,0.91856,0.9114113270749297,4592.8,9514.4,485.6,407.2,emb25_rat21_gru_bi0_lay1
68,0.9043854749647214,0.91856,0.9114113270749297,4592.8,9514.4,485.6,407.2,emb100_rat21_lstm_bi1_lay1
69,0.934290596095143,0.94292,0.9385819890201343,4714.6,4668.4,331.6,285.4,emb100_rat11_gru_bi1_lay4
70,0.934290596095143,0.94292,0.9385819890201343,4714.6,4668.4,331.6,285.4,emb100_rat11_lstm_bi1_lay4
71,0.8585697172309825,0.88144,0.8698440490372916,4407.2,19274.0,726.0,592.8,emb25_rat41_lstm_bi0_lay1
72,0.9043854749647214,0.91856,0.9114113270749297,4592.8,9514.4,485.6,407.2,emb50_rat21_lstm_bi1_lay1
73,0.9043854749647214,0.91856,0.9114113270749297,4592.8,9514.4,485.6,407.2,emb100_rat21_gru_bi1_lay2
74,0.9043854749647214,0.91856,0.9114113270749297,4592.8,9514.4,485.6,407.2,emb100_rat21_gru_bi1_lay8
75,0.9043854749647214,0.91856,0.9114113270749297,4592.8,9514.4,485.6,407.2,emb50_rat21_gru_bi0_lay1
76,0.8585697172309825,0.88144,0.8698440490372916,4407.2,19274.0,726.0,592.8,emb100_rat41_gru_bi1_lay4
77,0.9043854749647214,0.91856,0.9114113270749297,4592.8,9514.4,485.6,407.2,emb25_rat21_gru_bi1_lay1
78,0.9043854749647214,0.91856,0.9114113270749297,4592.8,9514.4,485.6,407.2,emb100_rat21_lstm_bi0_lay1
79,0.8585697172309825,0.88144,0.8698440490372916,4407.2,19274.0,726.0,592.8,emb25_rat41_lstm_bi1_lay2
80,0.934290596095143,0.94292,0.9385819890201343,4714.6,4668.4,331.6,285.4,emb25_rat11_lstm_bi1_lay1
81,0.8585697172309825,0.88144,0.8698440490372916,4407.2,19274.0,726.0,592.8,emb25_rat41_lstm_bi1_lay8
82,0.9043854749647214,0.91856,0.9114113270749297,4592.8,9514.4,485.6,407.2,emb100_rat21_gru_bi0_lay1
83,0.8585697172309825,0.88144,0.8698440490372916,4407.2,19274.0,726.0,592.8,emb50_rat41_gru_bi1_lay4
84,0.9043854749647214,0.91856,0.9114113270749297,4592.8,9514.4,485.6,407.2,emb50_rat21_gru_bi1_lay2
85,0.8585697172309825,0.88144,0.8698440490372916,4407.2,19274.0,726.0,592.8,emb50_rat41_lstm_bi1_lay4
86,0.9043854749647214,0.91856,0.9114113270749297,4592.8,9514.4,485.6,407.2,emb50_rat21_gru_bi1_lay8
87,0.934290596095143,0.94292,0.9385819890201343,4714.6,4668.4,331.6,285.4,emb50_rat11_gru_bi1_lay4
88,0.9043854749647214,0.91856,0.9114113270749297,4592.8,9514.4,485.6,407.2,emb100_rat21_lstm_bi1_lay2
89,0.9043854749647214,0.91856,0.9114113270749297,4592.8,9514.4,485.6,407.2,emb100_rat21_lstm_bi1_lay8
