,0
emb100_rat11_gru_bi0_lay1,7.2677167239983875
emb100_rat11_gru_bi1_lay1,7.148081427084075
emb100_rat11_gru_bi1_lay2,8.38309577076965
emb100_rat11_gru_bi1_lay4,10.681470168828964
emb100_rat11_gru_bi1_lay8,15.356047738141484
emb100_rat11_lstm_bi0_lay1,7.2836146469248675
emb100_rat11_lstm_bi1_lay1,7.163303781138526
emb100_rat11_lstm_bi1_lay2,8.341037949376636
emb100_rat11_lstm_bi1_lay4,10.566514404707485
emb100_rat11_lstm_bi1_lay8,15.225875678194893
emb100_rat21_gru_bi0_lay1,9.103434999373224
emb100_rat21_gru_bi1_lay1,8.807822006755405
emb100_rat21_gru_bi1_lay2,10.322681237419447
emb100_rat21_gru_bi1_lay4,12.926278466555809
emb100_rat21_gru_bi1_lay8,32.52795635280344
emb100_rat21_lstm_bi0_lay1,8.979764072749349
emb100_rat21_lstm_bi1_lay1,8.592151364790068
emb100_rat21_lstm_bi1_lay2,10.253579764737024
emb100_rat21_lstm_bi1_lay4,13.308726387487516
emb100_rat21_lstm_bi1_lay8,28.9055201884773
emb100_rat41_gru_bi0_lay1,48.340141893453065
emb100_rat41_gru_bi1_lay1,12.201309663626883
emb100_rat41_gru_bi1_lay2,13.926993137174184
emb100_rat41_gru_bi1_lay4,32.162145502103705
emb100_rat41_gru_bi1_lay8,42.07224883474244
emb100_rat41_lstm_bi0_lay1,18.27103278590573
emb100_rat41_lstm_bi1_lay1,12.11345629835129
emb100_rat41_lstm_bi1_lay2,13.650409004661773
emb100_rat41_lstm_bi1_lay4,17.397470838149392
emb100_rat41_lstm_bi1_lay8,41.72767356865936
emb25_rat11_gru_bi0_lay1,7.132773401790194
emb25_rat11_gru_bi1_lay1,7.112138301995065
emb25_rat11_gru_bi1_lay2,8.254865449561013
emb25_rat11_gru_bi1_lay4,10.840957925478618
emb25_rat11_gru_bi1_lay8,26.730478681193453
emb25_rat11_lstm_bi0_lay1,33.124160388906795
emb25_rat11_lstm_bi1_lay1,7.146292819129097
emb25_rat11_lstm_bi1_lay2,8.279950151668654
emb25_rat11_lstm_bi1_lay4,10.709683929959935
emb25_rat11_lstm_bi1_lay8,15.321576730635432
emb25_rat21_gru_bi0_lay1,9.037332625044717
emb25_rat21_gru_bi1_lay1,8.817517521434358
emb25_rat21_gru_bi1_lay2,10.35836839012305
emb25_rat21_gru_bi1_lay4,12.785777006202274
emb25_rat21_gru_bi1_lay8,29.29609622926182
emb25_rat21_lstm_bi0_lay1,9.266955694609218
emb25_rat21_lstm_bi1_lay1,8.819726661655638
emb25_rat21_lstm_bi1_lay2,10.291298332479265
emb25_rat21_lstm_bi1_lay4,24.75825038766861
emb25_rat21_lstm_bi1_lay8,21.488798415621122
emb25_rat41_gru_bi0_lay1,13.08023129140006
emb25_rat41_gru_bi1_lay1,12.33211123975118
emb25_rat41_gru_bi1_lay2,14.08279401087761
emb25_rat41_gru_bi1_lay4,16.921318008648022
emb25_rat41_gru_bi1_lay8,42.41674215141933
emb25_rat41_lstm_bi0_lay1,12.752907762010892
emb25_rat41_lstm_bi1_lay1,12.162313712477683
emb25_rat41_lstm_bi1_lay2,13.951977310021721
emb25_rat41_lstm_bi1_lay4,28.19149761618508
emb25_rat41_lstm_bi1_lay8,42.26160140077273
emb50_rat11_gru_bi0_lay1,7.186065292398135
emb50_rat11_gru_bi1_lay1,7.189863703648252
emb50_rat11_gru_bi1_lay2,8.157139694982103
emb50_rat11_gru_bi1_lay4,10.578437063601282
emb50_rat11_gru_bi1_lay8,15.120272714694337
emb50_rat11_lstm_bi0_lay1,7.288925693419245
emb50_rat11_lstm_bi1_lay1,33.08416231568655
emb50_rat11_lstm_bi1_lay2,8.351019968920284
emb50_rat11_lstm_bi1_lay4,10.653939265436595
emb50_rat11_lstm_bi1_lay8,15.144841517859035
emb50_rat21_gru_bi0_lay1,9.073387360480096
emb50_rat21_gru_bi1_lay1,8.875217792219585
emb50_rat21_gru_bi1_lay2,10.254321890261437
emb50_rat21_gru_bi1_lay4,12.731473569869994
emb50_rat21_gru_bi1_lay8,43.099116683509614
emb50_rat21_lstm_bi0_lay1,21.708522537324164
emb50_rat21_lstm_bi1_lay1,8.82121305530601
emb50_rat21_lstm_bi1_lay2,34.84982094592519
emb50_rat21_lstm_bi1_lay4,13.117005634228386
emb50_rat21_lstm_bi1_lay8,32.55701844015386
emb50_rat41_gru_bi0_lay1,18.246046966671948
emb50_rat41_gru_bi1_lay1,24.21920079445839
emb50_rat41_gru_bi1_lay2,13.950944542977544
emb50_rat41_gru_bi1_lay4,17.40195438138644
emb50_rat41_gru_bi1_lay8,42.07400309726927
emb50_rat41_lstm_bi0_lay1,12.91283986017439
emb50_rat41_lstm_bi1_lay1,12.091194793807137
emb50_rat41_lstm_bi1_lay2,25.484700133575338
emb50_rat41_lstm_bi1_lay4,17.006451065182688
emb50_rat41_lstm_bi1_lay8,54.791763677477846
